indicator,unit,year_count,min_year,max_year,years
－１歳人口,人,6,1980,2005,"1980,1985,1990,1995,2000,2005"
（前回調査比）従業者数（民営）（2016年）,%,1,2016,2016,2016
（前年同月比）新設住宅着工戸数（分譲住宅）,%,19,2007,2025,"2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025"
（前年同月比）新設住宅着工戸数（持家）,%,19,2007,2025,"2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025"
（前年同月比）新設住宅着工戸数（給与住宅）,%,19,2007,2025,"2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025"
（前年同月比）新設住宅着工戸数（総戸数）,%,19,2007,2025,"2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025"
（前年同月比）新設住宅着工戸数（貸家）,%,19,2007,2025,"2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025"
（前年度比）県内総生産（名目）2000年基準,%,13,1997,2009,"1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009"
（前年度比）県内総生産（名目）2005年基準,%,13,2002,2014,"2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014"
（前年度比）県内総生産（名目）2011年基準,%,12,2007,2018,"2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018"
（前年度比）県内総生産（名目）2015年基準,%,11,2012,2022,"2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022"
（前年度比）県内総生産（実質・支出側）2000年基準,%,13,1997,2009,"1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009"
（前年度比）県内総生産（実質・支出側）2005年基準,%,13,2002,2014,"2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014"
（前年度比）県内総生産（実質）2011年基準,%,12,2007,2018,"2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018"
（前年度比）県内総生産（実質）2015年基準,%,11,2012,2022,"2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022"
（前年度比）県民所得　2000年基準,%,13,1997,2009,"1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009"
（前年度比）県民所得　2005年基準,%,13,2002,2014,"2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014"
（前年度比）県民所得　2011年基準,%,12,2007,2018,"2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018"
（前年度比）県民所得　2015年基準,%,11,2012,2022,"2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022"
（前年度比）県民総所得（名目）2015年基準,%,10,2012,2021,"2012,2013,2014,2015,2016,2017,2018,2019,2020,2021"
０～１５歳人口,人,9,1980,2020,"1980,1985,1990,1995,2000,2005,2010,2015,2020"
０～１５歳人口（女）,人,9,1980,2020,"1980,1985,1990,1995,2000,2005,2010,2015,2020"
０～１５歳人口（男）,人,9,1980,2020,"1980,1985,1990,1995,2000,2005,2010,2015,2020"
０～１７歳人口,人,10,1975,2020,"1975,1980,1985,1990,1995,2000,2005,2010,2015,2020"
０～１７歳人口（女）,人,9,1980,2020,"1980,1985,1990,1995,2000,2005,2010,2015,2020"
