"時点","地域コード","地域","総面積（北方地域及び竹島を除く）【ha】","注記","森林面積【ha】","注記","年平均気温【℃】","注記","最高気温（日最高気温の月平均の最高値）【℃】","注記","最低気温（日最低気温の月平均の最低値）【℃】","注記","快晴日数（年間）【日】","注記","曇天日数（年間）【日】","注記","降水日数（年間）【日】","注記"
"1975年","01000","北海道","7851711","","","","8.3","","26.8","","-8.8","","31","","209","","134",""
"1975年","02000","青森県","961429","","","","9.9","","28.8","","-5.8","","25","","218","","153",""
"1975年","03000","岩手県","1527739","","","","9.8","","29.3","","-8.2","","33","","186","","108",""
"1975年","04000","宮城県","729094","","","","12.2","","29.5","","-2.8","","29","","163","","86",""
"1975年","05000","秋田県","1160934","","","","11.5","","29.6","","-3.8","","24","","247","","156",""
"1975年","06000","山形県","932611","","","","11.5","","32.4","","-5.1","","24","","184","","106",""
"1975年","07000","福島県","1378159","","","","12.7","","32.1","","-3.1","","24","","177","","85",""
"1975年","08000","茨城県","608959","","","","13.0","","30.4","","-3.1","","71","","169","","89",""
"1975年","09000","栃木県","641379","","","","12.9","","30.2","","-4.7","","67","","183","","104",""
"1975年","10000","群馬県","635561","","","","13.9","","31.5","","-2.5","","81","","153","","96",""
"1975年","11000","埼玉県","379932","","","","14.2","","31.9","","-2.5","","86","","174","","92",""
"1975年","12000","千葉県","511482","","","","15.0","","30.2","","0.5","","67","","162","","94",""
"1975年","13000","東京都","214538","","","","15.6","","31.5","","0.8","","63","","183","","93",""
"1975年","14000","神奈川県","239080","","","","15.1","","30.5","","0.6","","64","","193","","96",""
"1975年","15000","新潟県","1257737","","","","13.4","","31.0","","-1.4","","28","","223","","167",""
"1975年","16000","富山県","425216","","","","13.6","","30.7","","-1.7","","34","","214","","177",""
"1975年","17000","石川県","419608","","","","14.2","","31.2","","-0.8","","30","","208","","179",""
"1975年","18000","福井県","418834","","","","14.3","","31.8","","-1.1","","45","","201","","185",""
"1975年","19000","山梨県","446348","","","","13.7","","30.8","","-3.9","","65","","166","","92",""
"1975年","20000","長野県","1358462","","","","11.5","","30.6","","-5.6","","32","","180","","108",""
"1975年","21000","岐阜県","1059575","","","","15.2","","30.9","","-0.9","","64","","143","","116",""
"1975年","22000","静岡県","777184","","","","16.1","","29.9","","1.1","","79","","171","","106",""
"1975年","23000","愛知県","511373","","","","14.9","","31.1","","-0.9","","61","","152","","103",""
"1975年","24000","三重県","577359","","","","15.2","","29.9","","-0.2","","51","","149","","110",""
"1975年","25000","滋賀県","401600","","","","14.3","","30.8","","-0.5","","33","","198","","142",""
"1975年","26000","京都府","461279","","","","15.5","","31.9","","0.2","","29","","164","","123",""
"1975年","27000","大阪府","185840","","","","16.3","","32.3","","1.4","","29","","155","","110",""
"1975年","28000","兵庫県","836294","","","","15.7","","30.7","","0.9","","50","","141","","96",""
"1975年","29000","奈良県","369215","","","","14.4","","31.1","","-1.2","","30","","175","","117",""
"1975年","30000","和歌山県","472241","","","","16.1","","30.9","","1.7","","36","","174","","108",""
"1975年","31000","鳥取県","349178","","","","14.5","","30.8","","0.1","","32","","216","","180",""
"1975年","32000","島根県","662657","","","","14.5","","31.2","","0.2","","36","","222","","173",""
"1975年","33000","岡山県","707857","","","","14.9","","31.3","","-1.5","","55","","137","","93",""
"1975年","34000","広島県","845518","","","","15.1","","31.1","","0.5","","40","","157","","102",""
"1975年","35000","山口県","609545","","","","15.0","","31.3","","-0.8","","51","","174","","127",""
"1975年","36000","徳島県","414497","","","","16.0","","30.2","","1.5","","44","","146","","103",""
"1975年","37000","香川県","187931","","","","15.4","","31.2","","0.3","","49","","152","","109",""
"1975年","38000","愛媛県","566422","","","","15.8","","31.3","","1.1","","50","","163","","110",""
"1975年","39000","高知県","710660","","","","16.6","","31.3","","1.2","","51","","174","","128",""
"1975年","40000","福岡県","494645","","","","16.6","","32.6","","2.8","","33","","197","","116",""
"1975年","41000","佐賀県","241787","","","","16.3","","32.9","","1.8","","56","","168","","109",""
"1975年","42000","長崎県","410226","","","","16.9","","32.6","","3.2","","49","","161","","125",""
"1975年","43000","熊本県","739898","","","","16.4","","32.4","","0.4","","46","","174","","110",""
"1975年","44000","大分県","633085","","","","16.1","","31.2","","1.5","","47","","154","","104",""
"1975年","45000","宮崎県","773418","","","","16.9","","30.7","","1.9","","79","","166","","145",""
"1975年","46000","鹿児島県","915338","","","","17.7","","31.9","","3.0","","43","","180","","144",""
"1975年","47000","沖縄県","224587","","","","22.2","","30.2","","13.7","","9","","234","","158",""
"1976年","01000","北海道","7851818","","","","7.9","","25.6","","-7.9","","35","","178","","133",""
"1976年","02000","青森県","961462","","","","9.2","","25.8","","-4.9","","30","","222","","169",""
"1976年","03000","岩手県","1527745","","","","9.1","","26.3","","-6.3","","31","","197","","142",""
"1976年","04000","宮城県","729101","","","","11.4","","24.9","","-2.7","","37","","179","","111",""
"1976年","05000","秋田県","1160961","","","","10.4","","26.4","","-3.2","","16","","249","","180",""
"1976年","06000","山形県","932613","","","","10.5","","27.7","","-4.4","","25","","211","","144",""
"1976年","07000","福島県","1378199","","","","11.8","","27.4","","-2.9","","29","","204","","107",""
"1976年","08000","茨城県","608963","","","","12.6","","27.4","","-4.7","","64","","182","","116",""
"1976年","09000","栃木県","641379","","","","12.3","","27.3","","-6.1","","49","","189","","117",""
"1976年","10000","群馬県","635561","","","","13.4","","29.1","","-2.7","","70","","165","","97",""
"1976年","11000","埼玉県","379932","","","","13.6","","28.9","","-3.0","","73","","180","","104",""
"1976年","12000","千葉県","511945","","","","14.6","","28.1","","0.2","","58","","192","","99",""
"1976年","13000","東京都","214549","","","","15.0","","29.1","","0.7","","53","","184","","114",""
"1976年","14000","神奈川県","239136","","","","14.8","","28.4","","0.7","","56","","190","","113",""
"1976年","15000","新潟県","1257743","","","","12.4","","27.5","","-1.4","","20","","223","","171",""
"1976年","16000","富山県","425216","","","","12.8","","28.1","","-1.3","","24","","234","","183",""
"1976年","17000","石川県","419613","","","","13.5","","29.1","","-0.1","","21","","229","","180",""
"1976年","18000","福井県","418883","","","","13.6","","29.4","","-1.0","","32","","212","","184",""
"1976年","19000","山梨県","446348","","","","13.5","","29.8","","-4.8","","56","","182","","93",""
"1976年","20000","長野県","1358462","","","","10.8","","28.2","","-5.7","","31","","195","","121",""
"1976年","21000","岐阜県","1059575","","","","14.6","","30.7","","-1.1","","54","","170","","125",""
"1976年","22000","静岡県","777201","","","","15.9","","30.2","","0.0","","66","","179","","126",""
"1976年","23000","愛知県","511822","","","","14.4","","30.3","","-0.8","","57","","171","","118",""
"1976年","24000","三重県","577396","","","","14.7","","30.5","","-0.3","","53","","164","","109",""
"1976年","25000","滋賀県","401600","","","","13.7","","29.5","","-0.3","","22","","205","","139",""
"1976年","26000","京都府","461283","","","","14.9","","31.3","","-0.2","","38","","165","","121",""
"1976年","27000","大阪府","185999","","","","15.9","","31.7","","1.8","","35","","162","","102",""
"1976年","28000","兵庫県","836886","","","","15.1","","30.4","","1.2","","54","","141","","103",""
"1976年","29000","奈良県","369215","","","","13.9","","30.5","","-1.2","","41","","189","","118",""
"1976年","30000","和歌山県","472254","","","","15.5","","30.9","","1.6","","46","","177","","103",""
"1976年","31000","鳥取県","349192","","","","13.7","","29.6","","0.0","","31","","227","","155",""
"1976年","32000","島根県","662662","","","","13.7","","29.3","","-0.4","","32","","204","","158",""
"1976年","33000","岡山県","708356","","","","14.1","","30.8","","-2.4","","63","","158","","99",""
"1976年","34000","広島県","845877","","","","14.3","","29.5","","-0.3","","49","","150","","105",""
"1976年","35000","山口県","609852","","","","14.0","","30.3","","-2.0","","43","","192","","133",""
"1976年","36000","徳島県","414502","","","","15.3","","30.2","","0.6","","73","","145","","101",""
"1976年","37000","香川県","187986","","","","14.7","","30.9","","-0.3","","46","","159","","114",""
"1976年","38000","愛媛県","566515","","","","15.1","","30.7","","1.0","","54","","163","","109",""
"1976年","39000","高知県","710664","","","","15.9","","30.9","","-0.3","","52","","181","","121",""
"1976年","40000","福岡県","494952","","","","15.6","","31.4","","1.6","","33","","200","","142",""
"1976年","41000","佐賀県","241915","","","","15.4","","31.3","","0.1","","48","","186","","118",""
"1976年","42000","長崎県","410385","","","","16.1","","30.6","","2.2","","50","","191","","142",""
"1976年","43000","熊本県","739953","","","","15.7","","31.3","","-0.9","","44","","196","","128",""
"1976年","44000","大分県","633090","","","","15.3","","31.4","","0.5","","60","","169","","109",""
"1976年","45000","宮崎県","773418","","","","16.5","","31.7","","1.0","","81","","158","","127",""
"1976年","46000","鹿児島県","915689","","","","17.2","","32.1","","1.6","","49","","198","","137",""
"1976年","47000","沖縄県","224861","","","","22.0","","30.5","","12.6","","9","","195","","112",""
"1977年","01000","北海道","7851832","","","","7.8","","25.9","","-11.6","","29","","180","","130",""
"1977年","02000","青森県","961531","","","","9.4","","26.3","","-7.0","","24","","214","","161",""
"1977年","03000","岩手県","1527750","","","","9.7","","27.8","","-9.7","","37","","195","","127",""
"1977年","04000","宮城県","729101","","","","11.9","","26.8","","-5.3","","37","","167","","87",""
"1977年","05000","秋田県","1161004","","","","11.0","","26.6","","-5.7","","27","","243","","164",""
"1977年","06000","山形県","932613","","","","11.0","","29.1","","-7.3","","26","","214","","130",""
"1977年","07000","福島県","1378204","","","","12.5","","29.4","","-5.0","","24","","195","","95",""
"1977年","08000","茨城県","608963","","","","13.2","","27.7","","-4.0","","66","","166","","82",""
"1977年","09000","栃木県","641379","","","","13.1","","28.5","","-6.0","","56","","186","","96",""
"1977年","10000","群馬県","635561","","","","14.2","","30.2","","-3.6","","79","","160","","86",""
"1977年","11000","埼玉県","379932","","","","14.4","","30.7","","-3.1","","71","","181","","88",""
"1977年","12000","千葉県","512121","","","","15.2","","28.4","","-0.7","","69","","181","","100",""
"1977年","13000","東京都","214549","","","","15.8","","29.8","","0.0","","56","","181","","82",""
"1977年","14000","神奈川県","239573","","","","15.4","","29.1","","0.1","","48","","176","","101",""
"1977年","15000","新潟県","1257808","","","","13.1","","28.1","","-2.5","","18","","234","","169",""
"1977年","16000","富山県","425216","","","","13.4","","29.5","","-3.1","","33","","225","","166",""
"1977年","17000","石川県","419625","","","","14.2","","30.4","","-1.7","","26","","207","","165",""
"1977年","18000","福井県","418910","","","","14.1","","30.8","","-2.7","","47","","201","","168",""
"1977年","19000","山梨県","446348","","","","14.3","","31.3","","-4.3","","66","","171","","75",""
"1977年","20000","長野県","1358462","","","","11.5","","29.5","","-7.2","","36","","175","","103",""
"1977年","21000","岐阜県","1059575","","","","15.4","","31.9","","-1.7","","73","","147","","107",""
"1977年","22000","静岡県","777256","","","","16.5","","29.4","","-0.2","","69","","182","","108",""
"1977年","23000","愛知県","512169","","","","15.4","","31.6","","-1.7","","60","","151","","89",""
"1977年","24000","三重県","577419","","","","15.4","","30.8","","-0.9","","59","","148","","93",""
"1977年","25000","滋賀県","401600","","","","14.2","","30.7","","-2.5","","46","","195","","125",""
"1977年","26000","京都府","461284","","","","15.7","","32.3","","-1.4","","49","","152","","101",""
"1977年","27000","大阪府","186141","","","","16.7","","32.6","","0.4","","47","","148","","94",""
"1977年","28000","兵庫県","837010","","","","16.0","","31.3","","-0.3","","61","","127","","93",""
"1977年","29000","奈良県","369215","","","","14.6","","31.5","","-2.6","","46","","170","","105",""
"1977年","30000","和歌山県","472256","","","","16.3","","31.5","","0.5","","40","","150","","95",""
"1977年","31000","鳥取県","349233","","","","14.2","","29.5","","-1.3","","31","","211","","137",""
