"時点","地域コード","地域","有効求人倍率【倍】","注記","新規求人倍率【倍】","注記","労働力人口（国勢調査）【人】","注記","第１次産業就業者数【人】","注記","第２次産業就業者数【人】","注記","第３次産業就業者数【人】","注記"
"1963年1月","01000","北海道","0.44","","0.84","","","","","","","","",""
"1963年1月","02000","青森県","0.05","","0.08","","","","","","","","",""
"1963年1月","03000","岩手県","0.18","","0.17","","","","","","","","",""
"1963年1月","04000","宮城県","0.34","","0.52","","","","","","","","",""
"1963年1月","05000","秋田県","0.06","","0.09","","","","","","","","",""
"1963年1月","06000","山形県","0.25","","0.29","","","","","","","","",""
"1963年1月","07000","福島県","0.30","","0.44","","","","","","","","",""
"1963年1月","08000","茨城県","0.67","","0.80","","","","","","","","",""
"1963年1月","09000","栃木県","1.02","","0.92","","","","","","","","",""
"1963年1月","10000","群馬県","0.90","","0.89","","","","","","","","",""
"1963年1月","11000","埼玉県","1.06","","1.40","","","","","","","","",""
"1963年1月","12000","千葉県","0.54","","0.76","","","","","","","","",""
"1963年1月","13000","東京都","0.53","","1.07","","","","","","","","",""
"1963年1月","14000","神奈川県","0.72","","0.90","","","","","","","","",""
"1963年1月","15000","新潟県","0.23","","0.25","","","","","","","","",""
"1963年1月","16000","富山県","0.19","","0.20","","","","","","","","",""
"1963年1月","17000","石川県","0.41","","0.37","","","","","","","","",""
"1963年1月","18000","福井県","0.18","","0.20","","","","","","","","",""
"1963年1月","19000","山梨県","1.05","","1.43","","","","","","","","",""
"1963年1月","20000","長野県","0.45","","0.55","","","","","","","","",""
"1963年1月","21000","岐阜県","0.92","","1.50","","","","","","","","",""
"1963年1月","22000","静岡県","1.39","","1.22","","","","","","","","",""
"1963年1月","23000","愛知県","1.57","","1.95","","","","","","","","",""
"1963年1月","24000","三重県","0.55","","0.88","","","","","","","","",""
"1963年1月","25000","滋賀県","1.07","","1.08","","","","","","","","",""
"1963年1月","26000","京都府","0.55","","1.17","","","","","","","","",""
"1963年1月","27000","大阪府","0.50","","0.97","","","","","","","","",""
"1963年1月","28000","兵庫県","0.41","","0.72","","","","","","","","",""
"1963年1月","29000","奈良県","1.05","","1.58","","","","","","","","",""
"1963年1月","30000","和歌山県","0.43","","0.79","","","","","","","","",""
"1963年1月","31000","鳥取県","0.34","","0.43","","","","","","","","",""
"1963年1月","32000","島根県","0.24","","0.33","","","","","","","","",""
"1963年1月","33000","岡山県","0.52","","0.73","","","","","","","","",""
"1963年1月","34000","広島県","0.49","","0.76","","","","","","","","",""
"1963年1月","35000","山口県","0.23","","0.39","","","","","","","","",""
"1963年1月","36000","徳島県","0.38","","0.62","","","","","","","","",""
"1963年1月","37000","香川県","0.83","","1.15","","","","","","","","",""
"1963年1月","38000","愛媛県","0.17","","0.50","","","","","","","","",""
"1963年1月","39000","高知県","0.22","","0.44","","","","","","","","",""
"1963年1月","40000","福岡県","0.15","","0.36","","","","","","","","",""
"1963年1月","41000","佐賀県","0.16","","0.41","","","","","","","","",""
"1963年1月","42000","長崎県","0.24","","0.48","","","","","","","","",""
"1963年1月","43000","熊本県","0.20","","0.42","","","","","","","","",""
"1963年1月","44000","大分県","0.23","","0.45","","","","","","","","",""
"1963年1月","45000","宮崎県","0.16","","0.32","","","","","","","","",""
"1963年1月","46000","鹿児島県","0.10","","0.34","","","","","","","","",""
"1963年1月","47000","沖縄県","0.48","","0.67","","","","","","","","",""
"1963年2月","01000","北海道","0.88","","4.82","","","","","","","","",""
"1963年2月","02000","青森県","0.05","","0.25","","","","","","","","",""
"1963年2月","03000","岩手県","0.17","","0.44","","","","","","","","",""
"1963年2月","04000","宮城県","0.38","","0.74","","","","","","","","",""
"1963年2月","05000","秋田県","0.06","","0.30","","","","","","","","",""
"1963年2月","06000","山形県","0.24","","0.59","","","","","","","","",""
"1963年2月","07000","福島県","0.34","","0.73","","","","","","","","",""
"1963年2月","08000","茨城県","0.69","","0.83","","","","","","","","",""
"1963年2月","09000","栃木県","1.10","","1.07","","","","","","","","",""
"1963年2月","10000","群馬県","1.02","","1.28","","","","","","","","",""
"1963年2月","11000","埼玉県","1.08","","1.25","","","","","","","","",""
"1963年2月","12000","千葉県","0.56","","0.76","","","","","","","","",""
"1963年2月","13000","東京都","0.60","","0.96","","","","","","","","",""
"1963年2月","14000","神奈川県","0.76","","0.88","","","","","","","","",""
"1963年2月","15000","新潟県","0.31","","1.05","","","","","","","","",""
"1963年2月","16000","富山県","0.31","","1.62","","","","","","","","",""
"1963年2月","17000","石川県","0.46","","0.87","","","","","","","","",""
"1963年2月","18000","福井県","0.19","","0.67","","","","","","","","",""
"1963年2月","19000","山梨県","1.14","","1.62","","","","","","","","",""
"1963年2月","20000","長野県","0.48","","0.91","","","","","","","","",""
"1963年2月","21000","岐阜県","1.13","","2.54","","","","","","","","",""
"1963年2月","22000","静岡県","1.09","","1.48","","","","","","","","",""
"1963年2月","23000","愛知県","1.67","","1.88","","","","","","","","",""
"1963年2月","24000","三重県","0.53","","0.71","","","","","","","","",""
"1963年2月","25000","滋賀県","0.96","","0.85","","","","","","","","",""
"1963年2月","26000","京都府","0.68","","1.12","","","","","","","","",""
"1963年2月","27000","大阪府","0.59","","0.88","","","","","","","","",""
"1963年2月","28000","兵庫県","0.43","","0.65","","","","","","","","",""
"1963年2月","29000","奈良県","1.12","","1.50","","","","","","","","",""
"1963年2月","30000","和歌山県","0.44","","0.82","","","","","","","","",""
"1963年2月","31000","鳥取県","0.37","","0.70","","","","","","","","",""
"1963年2月","32000","島根県","0.24","","0.48","","","","","","","","",""
"1963年2月","33000","岡山県","0.54","","0.80","","","","","","","","",""
"1963年2月","34000","広島県","0.50","","0.73","","","","","","","","",""
"1963年2月","35000","山口県","0.23","","0.37","","","","","","","","",""
"1963年2月","36000","徳島県","0.33","","0.57","","","","","","","","",""
"1963年2月","37000","香川県","0.80","","1.04","","","","","","","","",""
"1963年2月","38000","愛媛県","0.28","","0.50","","","","","","","","",""
"1963年2月","39000","高知県","0.23","","0.42","","","","","","","","",""
"1963年2月","40000","福岡県","0.16","","0.34","","","","","","","","",""
"1963年2月","41000","佐賀県","0.17","","0.37","","","","","","","","",""
"1963年2月","42000","長崎県","0.24","","0.47","","","","","","","","",""
"1963年2月","43000","熊本県","0.19","","0.34","","","","","","","","",""
"1963年2月","44000","大分県","0.21","","0.42","","","","","","","","",""
"1963年2月","45000","宮崎県","0.18","","0.41","","","","","","","","",""
"1963年2月","46000","鹿児島県","0.09","","0.29","","","","","","","","",""
"1963年2月","47000","沖縄県","0.39","","0.60","","","","","","","","",""
"1963年3月","01000","北海道","1.28","","6.02","","","","","","","","",""
"1963年3月","02000","青森県","0.11","","0.80","","","","","","","","",""
"1963年3月","03000","岩手県","0.30","","1.65","","","","","","","","",""
"1963年3月","04000","宮城県","0.48","","0.94","","","","","","","","",""
"1963年3月","05000","秋田県","0.09","","0.78","","","","","","","","",""
"1963年3月","06000","山形県","0.30","","1.07","","","","","","","","",""
"1963年3月","07000","福島県","0.35","","0.77","","","","","","","","",""
"1963年3月","08000","茨城県","0.73","","1.03","","","","","","","","",""
"1963年3月","09000","栃木県","1.08","","1.10","","","","","","","","",""
"1963年3月","10000","群馬県","1.23","","1.63","","","","","","","","",""
"1963年3月","11000","埼玉県","1.19","","1.46","","","","","","","","",""
"1963年3月","12000","千葉県","0.62","","0.93","","","","","","","","",""
"1963年3月","13000","東京都","0.63","","0.95","","","","","","","","",""
"1963年3月","14000","神奈川県","0.82","","0.94","","","","","","","","",""
"1963年3月","15000","新潟県","0.49","","2.12","","","","","","","","",""
"1963年3月","16000","富山県","0.46","","1.95","","","","","","","","",""
"1963年3月","17000","石川県","0.76","","2.30","","","","","","","","",""
"1963年3月","18000","福井県","0.29","","1.93","","","","","","","","",""
"1963年3月","19000","山梨県","1.25","","1.49","","","","","","","","",""
"1963年3月","20000","長野県","0.80","","2.37","","","","","","","","",""
"1963年3月","21000","岐阜県","1.45","","3.13","","","","","","","","",""
"1963年3月","22000","静岡県","1.14","","1.38","","","","","","","","",""
