"時点","地域コード","地域","総人口（総数）【人】","注記"
"1975年10月","00000","全国","111939643","総務省統計局「国勢調査」による。"
"1975年11月","00000","全国","112041000",""
"1975年12月","00000","全国","112135000",""
"1976年1月","00000","全国","112175000",""
"1976年2月","00000","全国","112310000",""
"1976年3月","00000","全国","112373000",""
"1976年4月","00000","全国","112467000",""
"1976年5月","00000","全国","112553000",""
"1976年6月","00000","全国","112687000",""
"1976年7月","00000","全国","112775000",""
"1976年8月","00000","全国","112824000",""
"1976年9月","00000","全国","112987000",""
"1976年10月","00000","全国","113094000",""
"1976年11月","00000","全国","113193000",""
"1976年12月","00000","全国","113281000",""
"1977年1月","00000","全国","113310000",""
"1977年2月","00000","全国","113442000",""
"1977年3月","00000","全国","113497000",""
"1977年4月","00000","全国","113574000",""
"1977年5月","00000","全国","113645000",""
"1977年6月","00000","全国","113781000",""
"1977年7月","00000","全国","113872000",""
"1977年8月","00000","全国","113916000",""
"1977年9月","00000","全国","114069000",""
"1977年10月","00000","全国","114165000",""
"1977年11月","00000","全国","114267000",""
"1977年12月","00000","全国","114352000",""
"1978年1月","00000","全国","114376000",""
"1978年2月","00000","全国","114503000",""
"1978年3月","00000","全国","114555000",""
"1978年4月","00000","全国","114637000",""
"1978年5月","00000","全国","114704000",""
"1978年6月","00000","全国","114832000",""
"1978年7月","00000","全国","114913000",""
"1978年8月","00000","全国","114953000",""
"1978年9月","00000","全国","115096000",""
"1978年10月","00000","全国","115190000",""
"1978年11月","00000","全国","115277000",""
"1978年12月","00000","全国","115354000",""
"1979年1月","00000","全国","115378000",""
"1979年2月","00000","全国","115519000",""
"1979年3月","00000","全国","115564000",""
"1979年4月","00000","全国","115641000",""
"1979年5月","00000","全国","115691000",""
"1979年6月","00000","全国","115815000",""
"1979年7月","00000","全国","115890000",""
"1979年8月","00000","全国","115914000",""
"1979年9月","00000","全国","116064000",""
"1979年10月","00000","全国","116155000",""
"1979年11月","00000","全国","116257000",""
"1979年12月","00000","全国","116319000",""
"1980年1月","00000","全国","116332000",""
"1980年2月","00000","全国","116462000",""
"1980年3月","00000","全国","116500000",""
"1980年4月","00000","全国","116565000",""
"1980年5月","00000","全国","116627000",""
"1980年6月","00000","全国","116732000",""
"1980年7月","00000","全国","116807000",""
"1980年8月","00000","全国","116829000",""
"1980年9月","00000","全国","116970000",""
"1980年10月","00000","全国","117060396","総務省統計局「国勢調査」による。"
"1980年11月","00000","全国","117136000",""
"1980年12月","00000","全国","117213000",""
"1981年1月","00000","全国","117201000",""
"1981年2月","00000","全国","117337000",""
"1981年3月","00000","全国","117365000",""
"1981年4月","00000","全国","117427000",""
"1981年5月","00000","全国","117493000",""
"1981年6月","00000","全国","117593000",""
"1981年7月","00000","全国","117661000",""
"1981年8月","00000","全国","117681000",""
"1981年9月","00000","全国","117815000",""
"1981年10月","00000","全国","117902000",""
"1981年11月","00000","全国","117964000",""
"1981年12月","00000","全国","118038000",""
"1982年1月","00000","全国","118048000",""
"1982年2月","00000","全国","118173000",""
"1982年3月","00000","全国","118188000",""
"1982年4月","00000","全国","118249000",""
"1982年5月","00000","全国","118303000",""
"1982年6月","00000","全国","118407000",""
"1982年7月","00000","全国","118480000",""
"1982年8月","00000","全国","118504000",""
"1982年9月","00000","全国","118647000",""
"1982年10月","00000","全国","118728000",""
"1982年11月","00000","全国","118810000",""
"1982年12月","00000","全国","118877000",""
"1983年1月","00000","全国","118885000",""
"1983年2月","00000","全国","119004000",""
"1983年3月","00000","全国","119011000",""
"1983年4月","00000","全国","119078000",""
"1983年5月","00000","全国","119131000",""
"1983年6月","00000","全国","119240000",""
"1983年7月","00000","全国","119307000",""
"1983年8月","00000","全国","119325000",""
"1983年9月","00000","全国","119456000",""
"1983年10月","00000","全国","119536000",""
"1983年11月","00000","全国","119608000",""
"1983年12月","00000","全国","119669000",""
"1984年1月","00000","全国","119672000",""
"1984年2月","00000","全国","119797000",""
"1984年3月","00000","全国","119803000",""
"1984年4月","00000","全国","119869000",""
"1984年5月","00000","全国","119916000",""
"1984年6月","00000","全国","120021000",""
"1984年7月","00000","全国","120083000",""
"1984年8月","00000","全国","120104000",""
"1984年9月","00000","全国","120220000",""
"1984年10月","00000","全国","120305000",""
"1984年11月","00000","全国","120371000",""
"1984年12月","00000","全国","120441000",""
"1985年1月","00000","全国","120429000",""
"1985年2月","00000","全国","120557000",""
"1985年3月","00000","全国","120566000",""
"1985年4月","00000","全国","120628000",""
"1985年5月","00000","全国","120678000",""
"1985年6月","00000","全国","120781000",""
"1985年7月","00000","全国","120837000",""
"1985年8月","00000","全国","120844000",""
"1985年9月","00000","全国","120956000",""
"1985年10月","00000","全国","121048923","総務省統計局「国勢調査」による。"
"1985年11月","00000","全国","121112000",""
"1985年12月","00000","全国","121168000",""
"1986年1月","00000","全国","121121000",""
"1986年2月","00000","全国","121244000",""
"1986年3月","00000","全国","121232000",""
"1986年4月","00000","全国","121310000",""
"1986年5月","00000","全国","121348000",""
"1986年6月","00000","全国","121431000",""
"1986年7月","00000","全国","121482000",""
"1986年8月","00000","全国","121467000",""
"1986年9月","00000","全国","121577000",""
"1986年10月","00000","全国","121660000",""
"1986年11月","00000","全国","121704000",""
"1986年12月","00000","全国","121771000",""
"1987年1月","00000","全国","121718000",""
"1987年2月","00000","全国","121865000",""
"1987年3月","00000","全国","121825000",""
"1987年4月","00000","全国","121891000",""
"1987年5月","00000","全国","121941000",""
"1987年6月","00000","全国","122033000",""
"1987年7月","00000","全国","122069000",""
"1987年8月","00000","全国","122017000",""
"1987年9月","00000","全国","122153000",""
"1987年10月","00000","全国","122239000",""
"1987年11月","00000","全国","122275000",""
"1987年12月","00000","全国","122342000",""
"1988年1月","00000","全国","122277000",""
"1988年2月","00000","全国","122403000",""
"1988年3月","00000","全国","122355000",""
"1988年4月","00000","全国","122427000",""
"1988年5月","00000","全国","122407000",""
"1988年6月","00000","全国","122552000",""
"1988年7月","00000","全国","122578000",""
"1988年8月","00000","全国","122513000",""
"1988年9月","00000","全国","122651000",""
"1988年10月","00000","全国","122745000",""
"1988年11月","00000","全国","122806000",""
"1988年12月","00000","全国","122863000",""
"1989年1月","00000","全国","122772000",""
"1989年2月","00000","全国","122897000",""
"1989年3月","00000","全国","122851000",""
"1989年4月","00000","全国","122925000",""
"1989年5月","00000","全国","122915000",""
"1989年6月","00000","全国","123052000",""
"1989年7月","00000","全国","123069000",""
"1989年8月","00000","全国","122992000",""
"1989年9月","00000","全国","123115000",""
"1989年10月","00000","全国","123205000",""
"1989年11月","00000","全国","123253000",""
"1989年12月","00000","全国","123293000",""
"1990年1月","00000","全国","123210000",""
"1990年2月","00000","全国","123325000",""
"1990年3月","00000","全国","123263000",""
"1990年4月","00000","全国","123337000",""
"1990年5月","00000","全国","123316000",""
"1990年6月","00000","全国","123447000",""
"1990年7月","00000","全国","123478000",""
"1990年8月","00000","全国","123402000",""
"1990年9月","00000","全国","123505000",""
"1990年10月","00000","全国","123611167","総務省統計局「国勢調査」による。"
"1990年11月","00000","全国","123665000",""
"1990年12月","00000","全国","123702000",""
"1991年1月","00000","全国","123606000",""
"1991年2月","00000","全国","123797000",""
"1991年3月","00000","全国","123817000",""
"1991年4月","00000","全国","123869000",""
"1991年5月","00000","全国","123826000",""
"1991年6月","00000","全国","123922000",""
"1991年7月","00000","全国","123964000",""
"1991年8月","00000","全国","123895000",""
"1991年9月","00000","全国","123997000",""
"1991年10月","00000","全国","124101000",""
"1991年11月","00000","全国","124143000",""
"1991年12月","00000","全国","124204000",""
"1992年1月","00000","全国","124067000",""
"1992年2月","00000","全国","124217000",""
"1992年3月","00000","全国","124179000",""
"1992年4月","00000","全国","124259000",""
"1992年5月","00000","全国","124298000",""
"1992年6月","00000","全国","124367000",""
"1992年7月","00000","全国","124425000",""
"1992年8月","00000","全国","124341000",""
"1992年9月","00000","全国","124468000",""
"1992年10月","00000","全国","124567000",""
"1992年11月","00000","全国","124566000",""
"1992年12月","00000","全国","124650000",""
"1993年1月","00000","全国","124528000",""
"1993年2月","00000","全国","124665000",""
"1993年3月","00000","全国","124625000",""
"1993年4月","00000","全国","124677000",""
"1993年5月","00000","全国","124650000",""
"1993年6月","00000","全国","124791000",""
"1993年7月","00000","全国","124829000",""
"1993年8月","00000","全国","124725000",""
"1993年9月","00000","全国","124846000",""
"1993年10月","00000","全国","124938000",""
"1993年11月","00000","全国","124961000",""
"1993年12月","00000","全国","125002000",""
"1994年1月","00000","全国","124870000",""
"1994年2月","00000","全国","125019000",""
"1994年3月","00000","全国","124965000",""
"1994年4月","00000","全国","125018000",""
