"時点","地域コード","地域","出生数【人】","注記"
"1978年1月","00000","全国","143183",""
"1978年2月","00000","全国","130895",""
"1978年3月","00000","全国","139622",""
"1978年4月","00000","全国","140734",""
"1978年5月","00000","全国","150745",""
"1978年6月","00000","全国","142005",""
"1978年7月","00000","全国","152723",""
"1978年8月","00000","全国","150310",""
"1978年9月","00000","全国","143002",""
"1978年10月","00000","全国","140994",""
"1978年11月","00000","全国","133077",""
"1978年12月","00000","全国","141353",""
"1979年1月","00000","全国","140668",""
"1979年2月","00000","全国","125702",""
"1979年3月","00000","全国","133386",""
"1979年4月","00000","全国","130279",""
"1979年5月","00000","全国","139140",""
"1979年6月","00000","全国","135608",""
"1979年7月","00000","全国","144092",""
"1979年8月","00000","全国","145434",""
"1979年9月","00000","全国","139959",""
"1979年10月","00000","全国","141386",""
"1979年11月","00000","全国","129744",""
"1979年12月","00000","全国","137182",""
"1980年1月","00000","全国","135848",""
"1980年2月","00000","全国","125070",""
"1980年3月","00000","全国","129692",""
"1980年4月","00000","全国","128240",""
"1980年5月","00000","全国","134367",""
"1980年6月","00000","全国","128227",""
"1980年7月","00000","全国","138952",""
"1980年8月","00000","全国","138266",""
"1980年9月","00000","全国","136886",""
"1980年10月","00000","全国","133342",""
"1980年11月","00000","全国","120455",""
"1980年12月","00000","全国","127544",""
"1981年1月","00000","全国","127356",""
"1981年2月","00000","全国","117324",""
"1981年3月","00000","全国","124117",""
"1981年4月","00000","全国","125800",""
"1981年5月","00000","全国","130663",""
"1981年6月","00000","全国","125310",""
"1981年7月","00000","全国","135137",""
"1981年8月","00000","全国","134770",""
"1981年9月","00000","全国","133295",""
"1981年10月","00000","全国","130813",""
"1981年11月","00000","全国","118667",""
"1981年12月","00000","全国","126203",""
"1982年1月","00000","全国","125918",""
"1982年2月","00000","全国","114176",""
"1982年3月","00000","全国","119541",""
"1982年4月","00000","全国","118768",""
"1982年5月","00000","全国","127009",""
"1982年6月","00000","全国","126734",""
"1982年7月","00000","全国","137024",""
"1982年8月","00000","全国","138478",""
"1982年9月","00000","全国","133150",""
"1982年10月","00000","全国","128288",""
"1982年11月","00000","全国","118708",""
"1982年12月","00000","全国","127598",""
"1983年1月","00000","全国","125821",""
"1983年2月","00000","全国","113421",""
"1983年3月","00000","全国","124437",""
"1983年4月","00000","全国","124646",""
"1983年5月","00000","全国","128176",""
"1983年6月","00000","全国","122982",""
"1983年7月","00000","全国","134823",""
"1983年8月","00000","全国","133733",""
"1983年9月","00000","全国","129111",""
"1983年10月","00000","全国","125266",""
"1983年11月","00000","全国","119127",""
"1983年12月","00000","全国","127144",""
"1984年1月","00000","全国","124743",""
"1984年2月","00000","全国","116152",""
"1984年3月","00000","全国","123614",""
"1984年4月","00000","全国","118265",""
"1984年5月","00000","全国","124664",""
"1984年6月","00000","全国","119351",""
"1984年7月","00000","全国","134464",""
"1984年8月","00000","全国","134734",""
"1984年9月","00000","全国","126899",""
"1984年10月","00000","全国","125459",""
"1984年11月","00000","全国","117753",""
"1984年12月","00000","全国","123682",""
"1985年1月","00000","全国","120404",""
"1985年2月","00000","全国","110470",""
"1985年3月","00000","全国","115172",""
"1985年4月","00000","全国","114977",""
"1985年5月","00000","全国","120997",""
"1985年6月","00000","全国","116341",""
"1985年7月","00000","全国","130375",""
"1985年8月","00000","全国","126433",""
"1985年9月","00000","全国","122563",""
"1985年10月","00000","全国","123053",""
"1985年11月","00000","全国","111961",""
"1985年12月","00000","全国","118831",""
"1986年1月","00000","全国","115725",""
"1986年2月","00000","全国","105520",""
"1986年3月","00000","全国","113925",""
"1986年4月","00000","全国","110660",""
"1986年5月","00000","全国","116126",""
"1986年6月","00000","全国","114143",""
"1986年7月","00000","全国","123741",""
"1986年8月","00000","全国","118972",""
"1986年9月","00000","全国","117616",""
"1986年10月","00000","全国","119692",""
"1986年11月","00000","全国","110269",""
"1986年12月","00000","全国","116557",""
"1987年1月","00000","全国","113130",""
"1987年2月","00000","全国","101619",""
"1987年3月","00000","全国","112072",""
"1987年4月","00000","全国","109459",""
"1987年5月","00000","全国","116004",""
"1987年6月","00000","全国","112886",""
"1987年7月","00000","全国","121525",""
"1987年8月","00000","全国","117306",""
"1987年9月","00000","全国","113287",""
"1987年10月","00000","全国","112275",""
"1987年11月","00000","全国","105854",""
"1987年12月","00000","全国","111241",""
"1988年1月","00000","全国","106395",""
"1988年2月","00000","全国","98756",""
"1988年3月","00000","全国","106419",""
"1988年4月","00000","全国","105059",""
"1988年5月","00000","全国","109922",""
"1988年6月","00000","全国","108663",""
"1988年7月","00000","全国","115287",""
"1988年8月","00000","全国","118994",""
"1988年9月","00000","全国","115611",""
"1988年10月","00000","全国","114451",""
"1988年11月","00000","全国","106814",""
"1988年12月","00000","全国","107635",""
"1989年1月","00000","全国","105421",""
"1989年2月","00000","全国","94305",""
"1989年3月","00000","全国","103074",""
"1989年4月","00000","全国","101035",""
"1989年5月","00000","全国","106984",""
"1989年6月","00000","全国","101018",""
"1989年7月","00000","全国","108412",""
"1989年8月","00000","全国","109357",""
"1989年9月","00000","全国","103748",""
"1989年10月","00000","全国","104883",""
"1989年11月","00000","全国","101612",""
"1989年12月","00000","全国","106953",""
"1990年1月","00000","全国","104065",""
"1990年2月","00000","全国","92531",""
"1990年3月","00000","全国","101119",""
"1990年4月","00000","全国","99284",""
"1990年5月","00000","全国","106308",""
"1990年6月","00000","全国","99869",""
"1990年7月","00000","全国","107568",""
"1990年8月","00000","全国","106991",""
"1990年9月","00000","全国","102113",""
"1990年10月","00000","全国","102899",""
"1990年11月","00000","全国","97078",""
"1990年12月","00000","全国","101760",""
"1991年1月","00000","全国","101310",""
"1991年2月","00000","全国","91477",""
"1991年3月","00000","全国","99731",""
"1991年4月","00000","全国","98175",""
"1991年5月","00000","全国","104204",""
"1991年6月","00000","全国","100529",""
"1991年7月","00000","全国","107970",""
"1991年8月","00000","全国","106426",""
"1991年9月","00000","全国","104097",""
"1991年10月","00000","全国","106709",""
"1991年11月","00000","全国","98662",""
"1991年12月","00000","全国","103955",""
"1992年1月","00000","全国","100287",""
"1992年2月","00000","全国","92589",""
"1992年3月","00000","全国","97330",""
"1992年4月","00000","全国","97678",""
"1992年5月","00000","全国","103125",""
"1992年6月","00000","全国","100783",""
"1992年7月","00000","全国","108168",""
"1992年8月","00000","全国","104600",""
"1992年9月","00000","全国","105409",""
"1992年10月","00000","全国","102734",""
"1992年11月","00000","全国","95337",""
"1992年12月","00000","全国","100949",""
"1993年1月","00000","全国","99809",""
"1993年2月","00000","全国","89513",""
"1993年3月","00000","全国","98235",""
"1993年4月","00000","全国","96974",""
"1993年5月","00000","全国","101393",""
"1993年6月","00000","全国","99518",""
"1993年7月","00000","全国","105382",""
"1993年8月","00000","全国","104385",""
"1993年9月","00000","全国","101086",""
"1993年10月","00000","全国","97118",""
"1993年11月","00000","全国","94723",""
"1993年12月","00000","全国","100146",""
"1994年1月","00000","全国","101150",""
"1994年2月","00000","全国","92036",""
"1994年3月","00000","全国","101124",""
"1994年4月","00000","全国","100103",""
"1994年5月","00000","全国","105206",""
"1994年6月","00000","全国","102382",""
"1994年7月","00000","全国","109896",""
"1994年8月","00000","全国","109101",""
"1994年9月","00000","全国","105906",""
"1994年10月","00000","全国","105981",""
"1994年11月","00000","全国","101019",""
"1994年12月","00000","全国","104424",""
"1995年1月","00000","全国","102692",""
"1995年2月","00000","全国","90495",""
"1995年3月","00000","全国","98348",""
"1995年4月","00000","全国","95520",""
"1995年5月","00000","全国","101422",""
"1995年6月","00000","全国","99783",""
"1995年7月","00000","全国","105878",""
"1995年8月","00000","全国","105391",""
"1995年9月","00000","全国","100759",""
"1995年10月","00000","全国","96208",""
"1995年11月","00000","全国","92999",""
"1995年12月","00000","全国","97569",""
"1996年1月","00000","全国","98837",""
"1996年2月","00000","全国","92664",""
"1996年3月","00000","全国","96686",""
"1996年4月","00000","全国","97939",""
"1996年5月","00000","全国","104037",""
"1996年6月","00000","全国","99621",""
"1996年7月","00000","全国","107672",""
"1996年8月","00000","全国","104832",""
"1996年9月","00000","全国","103442",""
