"離婚件数【組】"
"時点","北海道","青森県","岩手県","宮城県","秋田県","山形県","福島県","茨城県","栃木県","群馬県","埼玉県","千葉県","東京都","神奈川県","新潟県","富山県","石川県","福井県","山梨県","長野県","岐阜県","静岡県","愛知県","三重県","滋賀県","京都府","大阪府","兵庫県","奈良県","和歌山県","鳥取県","島根県","岡山県","広島県","山口県","徳島県","香川県","愛媛県","高知県","福岡県","佐賀県","長崎県","熊本県","大分県","宮崎県","鹿児島県","沖縄県"
"1975年","8818","2047","1180","1841","1184","866","1784","1888","1524","1709","4584","3937","14503","7508","1661","972","1120","719","657","1432","1552","3536","5430","1236","617","2329","10146","5025","922","1107","566","499","1814","2767","1789","829","990","1764","1172","5655","751","1723","1472","1216","1316","1638","1340"
"1976年","9310","2185","1194","1846","1274","947","1803","1895","1613","1636","4988","4354","15002","7809","1734","1034","1167","770","737","1550","1521","3775","5842","1357","708","2401","10390","5119","946","1119","548","515","1863","2816","1856","839","1012","1903","1165","6010","735","1738","1648","1309","1229","1751","1549"
"1977年","9408","2199","1236","1976","1177","925","1800","1958","1780","1741","5145","4734","15114","7821","1812","1005","1163","784","726","1532","1582","3990","5873","1353","721","2599","11146","5324","1033","1243","552","520","1939","2993","1881","950","1115","2066","1341","6315","728","1877","1897","1383","1423","1858","1747"
"1978年","9492","2246","1275","2002","1185","992","1836","2128","1665","1783","5337","4768","15394","8173","1746","1021","1151","832","767","1584","1677","3939","6113","1448","754","2590","11357","5535","1116","1299","592","580","1986","3028","1887","903","1089","2068","1215","6579","701","1911","1761","1507","1447","1919","1768"
"1979年","9882","2331","1274","2008","1312","986","1911","2259","1816","1852","5543","5102","15473","8440","1820","982","1275","781","780","1659","1613","3953","6234","1441","755","2661","11367","5642","1072","1272","647","574","1980","3030","1934","963","1043","2192","1224","6790","799","1910","1857","1517","1530","1925","1839"
"1980年","10342","2307","1290","2167","1317","993","2102","2315","1914","1969","5901","5426","15969","8897","1952","1016","1267","779","784","1715","1728","4202","6550","1589","867","2884","12100","5747","1125","1418","580","579","2029","3160","1958","1024","1220","2062","1267","7156","859","1965","1865","1587","1634","2080","2032"
"1981年","11504","2549","1439","2366","1428","1119","2220","2691","2019","2107","6578","5926","17396","9485","2153","1098","1318","828","799","1825","1854","4418","6986","1644","946","2980","13442","6400","1293","1479","736","650","2235","3246","2140","1029","1255","2263","1391","7720","966","2271","2069","1696","1776","2242","2246"
"1982年","12121","2735","1550","2547","1473","1108","2321","2818","2076","2246","7012","6414","18077","10113","2260","1094","1358","854","835","1959","1949","4846","7822","1801","969","3134","14237","6730","1359","1596","766","651","2462","3542","2329","1172","1312","2359","1412","8393","1141","2311","2292","1633","1997","2356","2438"
"1983年","13042","3049","1704","2948","1612","1329","2570","3109","2397","2306","7979","7212","19548","11153","2475","1250","1392","935","919","2042","2172","5075","8260","2105","1079","3382","15544","7288","1459","1724","819","770","2559","3831","2543","1101","1353","2566","1530","9191","1173","2612","2606","1890","2268","2671","2608"
"1984年","13216","3007","1656","2771","1536","1261","2482","3112","2424","2362","7892","7197","19239","11071","2424","1191","1371","904","934","2180","2264","4845","8364","2016","1080","3529","15363","7368","1589","1736","794","789","2565","3686","2356","1101","1307","2528","1548","9415","1187","2720","2702","2031","2262","2763","2608"
"1985年","12042","2512","1521","2628","1451","1160","2439","3102","2127","2099","7494","6858","17955","10633","2266","1073","1374","896","852","2055","2085","4572","7766","1869","1015","3248","14355","6802","1519","1524","750","742","2479","3480","2229","1017","1263","2254","1343","8918","1106","2304","2527","1788","1981","2577","2590"
"1986年","11596","2511","1469","2620","1360","1156","2414","2948","2206","2197","7387","6634","18271","10706","2228","1052","1358","867","918","2164","2092","4573","7756","1971","1116","3241","14494","7094","1505","1600","758","688","2342","3647","2098","917","1137","2290","1354","8753","1069","2236","2359","1858","1915","2601","2528"
"1987年","10611","2369","1431","2484","1322","1081","2201","2867","1990","2126","7180","6474","17152","10317","2075","1044","1361","831","896","2094","2105","4447","7573","1897","1056","3179","13886","6713","1412","1439","701","732","2176","3290","1996","908","1234","2116","1390","8207","982","2144","2323","1764","1805","2449","2397"
"1988年","9782","2045","1403","2416","1237","1097","2205","2781","2046","2118","7337","6567","16884","10167","1956","1063","1285","769","890","2003","1921","4199","7440","1820","1065","3071","13545","6503","1420","1438","673","684","2232","3341","1861","980","1112","1958","1244","7867","922","1965","2258","1639","1634","2370","2387"
"1989年","10042","2202","1438","2415","1290","1083","2223","2932","2187","2344","7560","6959","17593","10636","2054","1021","1275","826","903","2088","1957","4302","7817","1812","1093","3021","13808","6795","1500","1405","684","661","2298","3374","1925","942","1170","2022","1362","7547","879","2005","2248","1646","1787","2303","2377"
"1990年","9722","2001","1328","2517","1256","1097","2179","3014","2179","2180","7775","7092","17935","11059","2003","1086","1208","780","848","2022","1994","4432","7998","1918","1120","3050","13524","6622","1512","1461","674","645","2169","3402","1948","934","1226","1954","1251","7699","991","1922","2171","1583","1615","2199","2313"
"1991年","10175","2205","1377","2577","1280","1110","2415","3182","2340","2506","8608","7806","19400","12170","2125","1051","1296","832","950","2153","2037","4571","8323","1997","1250","3346","15128","7251","1598","1582","718","702","2423","3640","2036","886","1286","2067","1312","7986","957","1935","2310","1679","1788","2203","2400"
"1992年","10500","2266","1465","2836","1373","1183","2480","3430","2540","2508","9239","8411","20211","12936","2255","1182","1352","822","1030","2305","2178","5017","8767","2265","1318","3640","16287","7867","1784","1744","781","730","2454","3646","2189","1023","1311","2116","1358","8420","974","2113","2450","1683","1869","2418","2465"
"1993年","10998","2385","1619","3079","1424","1349","2595","3872","2717","2604","9724","8735","21114","13529","2411","1143","1403","873","1105","2422","2291","5292","9305","2468","1389","3738","16742","8157","1876","1689","808","769","2644","3958","2228","1041","1304","2267","1451","8822","1097","2295","2628","1759","1939","2533","2706"
"1994年","11041","2331","1589","3141","1469","1367","2798","3923","2778","2810","10622","9210","21372","14270","2442","1221","1373","942","1190","2434","2459","5426","9800","2459","1497","3891","17272","8606","1960","1824","852","809","2747","4183","2222","1104","1388","2363","1444","9052","1181","2275","2750","1825","1976","2576","2842"
"1995年","11227","2429","1590","3198","1478","1330","2903","4249","2835","2892","11062","9639","21548","14588","2644","1217","1437","889","1112","2589","2507","5723","10405","2510","1594","4047","17238","7715","2097","1790","809","818","2844","4376","2341","1160","1503","2290","1525","9064","1224","2361","2893","1959","1940","2623","2804"
"1996年","11706","2496","1715","3284","1475","1408","2966","4354","2975","3106","11630","9899","22273","15263","2660","1284","1468","996","1258","2732","2577","5795","10819","2660","1700","4115","17395","8533","2085","1816","918","836","2979","4506","2379","1201","1577","2477","1511","9581","1216","2391","3046","2044","2152","2726","2972"
"1997年","12703","2650","1841","3604","1712","1480","3257","4881","3196","3186","12451","10825","23690","16240","2977","1354","1608","947","1295","2875","2958","6298","11689","2830","1803","4384","18870","9413","2307","1894","979","930","3122","4749","2570","1286","1682","2596","1668","10455","1380","2499","3049","2115","2279","2949","3109"
"1998年","13532","2806","2136","3993","1782","1720","3624","5099","3571","3450","13455","11545","25685","17537","3322","1541","1852","1189","1408","3355","3199","6780","12889","3189","2123","4732","20906","10404","2484","2134","1042","965","3543","5235","2787","1384","1830","2884","1781","11069","1482","2766","3397","2324","2459","3269","3524"
